type,name,price,images,discount
Whisky,Johnnie Walker Blue Label Ice Chalet,57202,"[""https:\/\/www.whisky.de\/shop\/out\/pictures\/generated\/product\/1\/2200_2200_75\/ximage_JOWALBLIC_1.jpg,q1728314184.pagespeed.ic.MXJhB0YDwp.jpg""]",0
Whisky,Old Perth Palo Cortado,80496,"[""https:\/\/www.whisky.de\/shop\/out\/pictures\/generated\/product\/1\/2200_2200_75\/image_OLDPE0PC0_1.jpg?1713957740""]",0
Whisky,Old Grand Dad,3790,"[""https:\/\/www.whisky.de\/shop\/out\/pictures\/generated\/product\/1\/2200_2200_75\/ximage_OLDGR001L_1.jpg,q1713962567.pagespeed.ic.vLv3sPVMXS.jpg""]",0
Rum,Rum Nation Guatemala Rum XO 20th Anniversary Decanter,10056,"[""https:\/\/www.whisky.de\/shop\/out\/pictures\/generated\/product\/1\/2200_2200_75\/ximage_XRRUMNAGUXO_1.jpg,q1713957371.pagespeed.ic.sKRk-T-JIi.jpg""]",0
Rum,Trois Rivières VSOP Reserve Speciale Rhum,11852,"[""https:\/\/www.whisky.de\/shop\/out\/pictures\/generated\/product\/1\/2200_2200_75\/ximage_XRTROISVSOP_1.jpg,q1713958127.pagespeed.ic.RJVOeZpZq4.jpg""]",2790
Whisky,Goalong Small Batch 5 Years,58664,"[""https:\/\/www.whisky.de\/shop\/out\/pictures\/generated\/product\/1\/2200_2200_75\/ximage_GOALO0SB0_1.jpg,q1723470054.pagespeed.ic.rz_JbaKp7T.jpg""]",0
Whisky,Balmenach Provenance 8 Years 2013/2022,75880,"[""https:\/\/www.whisky.de\/shop\/out\/pictures\/generated\/product\/1\/2200_2200_75\/ximage_BALME08PR_1.jpg,q1713957796.pagespeed.ic.5mqPuOuCHx.jpg""]",0
Whisky,Raasay Na Sia Single Cask Peated Rye Whiskey Cask 5 Years 2019/2024,2779,"[""https:\/\/www.whisky.de\/shop\/out\/pictures\/generated\/product\/1\/2200_2200_75\/image_RAASA05RP_1.jpg?1729862419""]",3210
Rum,Don Papa Masskara Rum Spirit,63904,"[""https:\/\/www.whisky.de\/shop\/out\/pictures\/generated\/product\/1\/2200_2200_75\/ximage_XRDPAPA0MA0_1.jpg,q1713958462.pagespeed.ic.zSEgM8c-CM.jpg""]",0
Rum,Hampden Great House Distillery Edition Rum 2024,55658,"[""https:\/\/www.whisky.de\/shop\/out\/pictures\/generated\/product\/1\/2200_2200_75\/ximage_XRHAMPD0GH1_1.jpg,q1729862167.pagespeed.ic.vged_T5GlS.jpg""]",0
